species_name,museum_name,location,state,country,n_records,sex,subspecies,notes,extra_notes
Trichoglossus haematodus,AM,,,New Guinea,1,,flavicans,30608,
Trichoglossus haematodus,AM,San Cristobal,,Solomon Islands,1,m,mascana x micropsteryx?,mascana/micropsteryx?,
Trichoglossus haematodus,AM,,,New Guinea,1,,forsteni,12993,
Trichoglossus haematodus,AM,,,,1,,mitchelli,0.35214,
Trichoglossus haematodus,ANWC,Bougainville,,Papua New Guinea,8,m,massena,,
Trichoglossus haematodus,ANWC,Bougainville,,Papua New Guinea,5,f,massena,,
Trichoglossus haematodus,ANWC,Lake Kutubu and Herzog Mountains,,Papua New Guinea,11,m,massena,SENG - southeast New Guinea? ,
Trichoglossus haematodus,ANWC,Lake Kutubu and Herzog Mountains,,Papua New Guinea,25,f,massena,SENG - southeast New Guinea? ,
Trichoglossus haematodus,ANWC,Bernhard Camp to Sepik and Wahgi Valley,,Papua New Guinea,11,m,intermedius,,
Trichoglossus haematodus,ANWC,Bernhard Camp to Sepik and Wahgi Valley,,Papua New Guinea,5,f,intermedius,,
Trichoglossus haematodus,,,Maluku Islands,Indonesia,51,m,,New Guinea and Moluccas,
Trichoglossus haematodus,,,Maluku Islands,Indonesia,35,f,,New Guinea and Moluccas,
Trichoglossus haematodus,QM,Roper River,Northern Territory,Australia,12,m,rubritorquis,Ngukurr?,
Trichoglossus haematodus,QM,Doomadgee,Queensland,Australia,1,f,rubritorquis,,
Trichoglossus haematodus,QM,Portland Road,Queensland,Australia,1,m,rubritorquis,subsp unclear,
Trichoglossus haematodus,QM,Wenlock,Queensland,Australia,1,m,rubritorquis,subsp unclear,
Trichoglossus haematodus,QM,Iron Range,Queensland,Australia,1,m,rubritorquis,subsp unclear,
Trichoglossus haematodus,QM,Browns Creek,Queensland,Australia,2,m,rubritorquis,subsp unclear- loc Browns Creek/Pascoe River,
Trichoglossus haematodus,QM,,Queensland,Australia,1,m,rubritorquis,subsp unclear- loc Peach/Poach River unclear,
Trichoglossus haematodus,QM,Yappar River,Queensland,Australia,1,m,rubritorquis,subsp unclear- loc Yappar River/Glenora,
Trichoglossus haematodus,QM,Prince of Wales Island,Queensland,Australia,1,f,rubritorquis,subsp unclear,
Trichoglossus haematodus,QM,Iron Range,Queensland,Australia,1,f,rubritorquis,subsp unclear,
Trichoglossus haematodus,QM,Browns Creek,Queensland,Australia,1,f,rubritorquis,subsp unclear- loc Browns Creek/Pascoe River,
Trichoglossus haematodus,QM,Cape York,Queensland,Australia,1,f,rubritorquis,subsp unclear,
Trichoglossus haematodus,QM,Endeavour Road- Cooktown,Queensland,Australia,2,m,,subsp unclear,
Trichoglossus haematodus,QM,South Cooktown- Mt Forest area - Ford,Queensland,Australia,1,m,,subsp unclear,
Trichoglossus haematodus,QM,Gap Creek 40 miles south of Cooktown,Queensland,Australia,1,m,,subsp unclear,
Trichoglossus haematodus,QM,Mossman,Queensland,Australia,1,m,,subsp unclear,
Trichoglossus haematodus,QM,Aitkenvale,Queensland,Australia,1,m,,subsp unclear,
Trichoglossus haematodus,QM,Percy Island,Queensland,Australia,1,m,,subsp unclear,
Trichoglossus haematodus,QM,North Nebo,Queensland,Australia,1,m,,subsp unclear,
Trichoglossus haematodus,QM,Jericho,Queensland,Australia,1,m,,subsp unclear- loc could be Tas,
Trichoglossus haematodus,QM,Shoalwater Bay,Queensland,Australia,2,m,,subsp unclear,
Trichoglossus haematodus,QM,Gladstone,,Australia,1,m,,subsp unclear- loc QLD or NSW,
Trichoglossus haematodus,QM,Maryborough,,Australia,2,m,,subsp unclear- loc QLD or VIC,
Trichoglossus haematodus,QM,Fraser Island,Queensland,Australia,2,m,,subsp unclear,
Trichoglossus haematodus,QM,Biggenden,Queensland,Australia,5,m,,subsp unclear,
Trichoglossus haematodus,QM,Jimboomba,Queensland,Australia,2,m,,subsp unclear- loc Jimbooba,
Trichoglossus haematodus,QM,Booloumba Creek,Queensland,Australia,1,m,,subsp unclear,
Trichoglossus haematodus,QM,Holland Park,Queensland,Australia,1,m,,subsp unclear,
Trichoglossus haematodus,QM,Brisbane,Queensland,Australia,5,m,,subsp unclear,
Trichoglossus haematodus,QM,Yeronga,Queensland,Australia,1,m,,subsp unclear,
Trichoglossus haematodus,QM,Veresdale,Queensland,Australia,1,m,,subsp unclear,
Trichoglossus haematodus,QM,Mossman,Queensland,Australia,1,f,,subsp unclear,
Trichoglossus haematodus,QM,Percy Island,Queensland,Australia,1,f,,subsp unclear,
Trichoglossus haematodus,QM,Townsville,Queensland,Australia,3,f,,subsp unclear,
Trichoglossus haematodus,QM,Jericho,Queensland,Australia,1,f,,subsp unclear- loc could be Tas,
Trichoglossus haematodus,QM,Blackwall,Queensland,Australia,1,f,,subsp unclear- loc could be Tas- NSW,
Trichoglossus haematodus,QM,Shoalwater Bay,Queensland,Australia,4,f,,subsp unclear,
Trichoglossus haematodus,QM,Rockhampton,Queensland,Australia,2,f,,subsp unclear,
Trichoglossus haematodus,QM,Gin Gin,Queensland,Australia,1,f,,subsp unclear,
Trichoglossus haematodus,QM,Biggenden,Queensland,Australia,1,f,,subsp unclear,
Trichoglossus haematodus,QM,Brisbane,Queensland,Australia,2,f,,subsp unclear,
Trichoglossus haematodus,QM,Greenbank,Queensland,Australia,1,f,,subsp unclear,
Trichoglossus haematodus,QM,Park Ridge,Queensland,Australia,1,f,,subsp unclear,
Trichoglossus haematodus,QM,Redcliffe,Queensland,Australia,1,f,,subsp unclear,
Trichoglossus haematodus,QM,Veresdale,Queensland,Australia,1,f,,subsp unclear,
Trichoglossus haematodus,QM,Coorparoo,Queensland,Australia,1,f,,subsp unclear,
Trichoglossus haematodus,QM,Cleveland,Queensland,Australia,2,f,,subsp unclear- loc could be Tas,
Trichoglossus haematodus,QM,Richmond,New South Wales,Australia,1,f,,subsp unclear,
Trichoglossus haematodus,QM,Brisbane,Queensland,Australia,3,m,,subsp unclear,
Trichoglossus haematodus,QM,Boondall,Queensland,Australia,1,m,,subsp unclear,
Trichoglossus haematodus,QM,Brisbane,Queensland,Australia,11,m,,subsp unclear- unmeasured,
Trichoglossus rosenbergii,NHM,,,,1,m,rosenbergii,loc illegible,
Trichoglossus rosenbergii,NHM,,,,1,m,rosenbergii,captive,
Trichoglossus rosenbergii,NHM,,,,1,,rosenbergii,loc illegible- Gulnisck/Guluis ck Bay,
Trichoglossus forsteni,NHM,,Lombok,Indonesia,2,m,,Lombok subsp,
Trichoglossus forsteni,NHM,,Lombok,Indonesia,2,f,,Lombok subsp,
Trichoglossus forsteni,NHM,,,,1,f,,subsp Djampea & Gumbaura- loc unclear,
Trichoglossus forsteni,NHM,,Tanahjampea,Indonesia,1,m,,Djampea & Gumbaura subsp,
Trichoglossus forsteni,NHM,,Tanahjampea,Indonesia,1,,,Djampea & Gumbaura subsp,
Trichoglossus haematodus,NHM,,Banda Islands,Indonesia,1,,nominate haematodus,,
Trichoglossus weberi,NHM,,Flores,Indonesia,2,m,weberi,South Flores,
Trichoglossus weberi,NHM,,Flores,Indonesia,2,,weberi,South Flores,
Trichoglossus capistratus,NHM,,Sumba,Indonesia,2,m,capistratus,capistratus group,
Trichoglossus capistratus,NHM,,Sumba,Indonesia,1,f,capistratus,capistratus group,
Trichoglossus capistratus,NHM,,Timor,Indonesia/East Timor,2,m,capistratus,"capistratus group- loc simply says ""Timor""",
Trichoglossus capistratus,NHM,,Timor,Indonesia/East Timor,3,f,capistratus,"capistratus group- loc simply says ""Timor""",
Trichoglossus capistratus,NHM,Kai Islands,,Indonesia,1,m,capistratus,"capistratus group- loc simply says ""Timor""",
Trichoglossus capistratus,NHM,Aru Islands,Maluku Islands,Indonesia,7,m,capistratus,"capistratus group- loc simply says ""Timor""",
Trichoglossus capistratus,NHM,Kai Islands,,Indonesia,1,f,capistratus,"capistratus group- loc simply says ""Timor""",
Trichoglossus capistratus,NHM,Aru Islands,Maluku Islands,Indonesia,5,f,capistratus,"capistratus group- loc simply says ""Timor""",
Trichoglossus capistratus,,Wetar,,Indonesia,14,m,capistratus,capistratus group- loc also Ranurg? Ranurq?,
Trichoglossus capistratus,,Wetar,,Indonesia,10,f,capistratus,capistratus group- loc also Ranurg? Ranurq?,
Trichoglossus capistratus,,,Timor,Indonesia/East Timor,13,m,capistratus,"capistratus group- loc simply says ""Timor""",
Trichoglossus capistratus,,,Timor,Indonesia/East Timor,14,f,capistratus,"capistratus group- loc simply says ""Timor""",
Trichoglossus capistratus,,Sumba,,Indonesia,10,m,capistratus,capistratus group,
Trichoglossus capistratus,,Sumba,,Indonesia,9,f,capistratus,capistratus group,
Trichoglossus haematodus,,New Hanover Island,Bismarck Archipelago,New Guinea,1,m,,unsure if flavicans or flavoviridis,
Trichoglossus haematodus,,Santa Cruz Island,,Vanuatu,1,m,massena,,
Trichoglossus haematodus,,,,Solomon Islands,1,m,massena,,
Trichoglossus haematodus,AMNH,Normanton,Queensland,Australia,1,m,moluccanus,,
Trichoglossus haematodus,AMNH,Somerset,Queensland,Australia,1,m,moluccanus,,
Trichoglossus haematodus,AMNH,Cape York,Queensland,Australia,3,m,moluccanus,,
Trichoglossus haematodus,AMNH,Utingu,Queensland,Australia,10,m,moluccanus,,
Trichoglossus haematodus,AMNH,Skull Creek,Queensland,Australia,1,m,moluccanus,,
Trichoglossus haematodus,AMNH,Lynd River / Pinnacle Creek,Queensland,Australia,1,m,moluccanus,,
Trichoglossus haematodus,AMNH,Cooktown,Queensland,Australia,2,m,moluccanus,,
Trichoglossus haematodus,AMNH,Almaden,Queensland,Australia,1,m,moluccanus,,
Trichoglossus haematodus,AMNH,Cairns,Queensland,Australia,1,m,moluccanus,,
Trichoglossus haematodus,AMNH,Mount Sapphire,Queensland,Australia,3,m,moluccanus,,
Trichoglossus haematodus,AMNH,Atherton,Queensland,Australia,4,m,moluccanus,,
Trichoglossus haematodus,AMNH,Babinda Creek,Queensland,Australia,3,m,moluccanus,,
Trichoglossus haematodus,AMNH,Bellenden Ker,Queensland,Australia,3,m,moluccanus,,
Trichoglossus haematodus,AMNH,Coomooboolaroo,Queensland,Australia,2,m,moluccanus,homestead in Coomoo,
Trichoglossus haematodus,AMNH,Westwood,Queensland,Australia,1,m,moluccanus,,
Trichoglossus haematodus,AMNH,Carnavon,Western Australia,Australia,1,m,moluccanus,Carnavon River,
Trichoglossus haematodus,AMNH,Richmond River,New South Wales,Australia,4,m,moluccanus,,
Trichoglossus haematodus,AMNH,Wardell,New South Wales,Australia,1,m,moluccanus,,
Trichoglossus haematodus,AMNH,Sydney,New South Wales,Australia,4,m,moluccanus,nr. Sydney,
Trichoglossus haematodus,AMNH,Hawkesbury River,New South Wales,Australia,1,m,moluccanus,,
Trichoglossus haematodus,AMNH,Minto,New South Wales,Australia,4,m,moluccanus,,
Trichoglossus haematodus,AMNH,Blacktown,New South Wales,Australia,1,m,moluccanus,,
Trichoglossus haematodus,AMNH,Castlemaine,Victoria,Australia,1,m,moluccanus,,
Trichoglossus haematodus,AMNH,Hamilton,Victoria,Australia,1,m,moluccanus,,
Trichoglossus haematodus,AMNH,,South Australia,Australia,1,m,moluccanus,loc unclear - Warrupa?,
Trichoglossus haematodus,AMNH,Blackwood,South Australia,Australia,1,m,moluccanus,,
Trichoglossus haematodus,AMNH,Kangaroo Island,South Australia,Australia,1,m,moluccanus,,
Trichoglossus haematodus,AMNH,Port Lincoln,South Australia,Australia,1,m,moluccanus,,
Trichoglossus haematodus,AMNH,Somerset,Queensland,Australia,1,f,moluccanus,,
Trichoglossus haematodus,AMNH,Cape York,Queensland,Australia,1,f,moluccanus,,
Trichoglossus haematodus,AMNH,Utingu,Queensland,Australia,4,f,moluccanus,,
Trichoglossus haematodus,AMNH,Skull Creek,Queensland,Australia,1,f,moluccanus,,
Trichoglossus haematodus,AMNH,Lynd River / Pinnacle Creek,Queensland,Australia,1,f,moluccanus,,
Trichoglossus haematodus,AMNH,Wrotham Park,Queensland,Australia,1,f,moluccanus,,
Trichoglossus haematodus,AMNH,Mount Surprise,Queensland,Australia,1,f,moluccanus,,
Trichoglossus haematodus,AMNH,Einasleigh,Queensland,Australia,2,f,moluccanus,,
Trichoglossus haematodus,AMNH,Cairns,Queensland,Australia,3,f,moluccanus,,
Trichoglossus haematodus,AMNH,Mount Sapphire,Queensland,Australia,1,f,moluccanus,,
Trichoglossus haematodus,AMNH,Atherton,Queensland,Australia,3,f,moluccanus,,
Trichoglossus haematodus,AMNH,Babinda Creek,Queensland,Australia,3,f,moluccanus,,
Trichoglossus haematodus,AMNH,Burra,Queensland,Australia,1,f,moluccanus,loc unclear,
Trichoglossus haematodus,AMNH,Charters Towers,Queensland,Australia,1,f,moluccanus,,
Trichoglossus haematodus,AMNH,Inkerman,South Australia,Australia,2,f,moluccanus,,
Trichoglossus haematodus,AMNH,Mackay,Queensland,Australia,4,,moluccanus,,
Trichoglossus haematodus,AMNH,Brisbane,Queensland,Australia,1,f,moluccanus,,
Trichoglossus haematodus,AMNH,Tweed River,New South Wales,Australia,1,f,moluccanus,,
Trichoglossus haematodus,AMNH,Wardell,New South Wales,Australia,1,f,moluccanus,,
Trichoglossus haematodus,AMNH,Richmond River,New South Wales,Australia,1,f,moluccanus,,
Trichoglossus haematodus,AMNH,Hawkesbury River,New South Wales,Australia,1,f,moluccanus,,
Trichoglossus haematodus,AMNH,Minto,New South Wales,Australia,3,f,moluccanus,,
Trichoglossus haematodus,AMNH,Blacktown,New South Wales,Australia,1,f,moluccanus,,
Trichoglossus haematodus,RMNH,Walter,,,5,m,capistratus,Loc unclear,
Trichoglossus haematodus,RMNH,,Timor,,5,m,capistratus,loc unclear,
Trichoglossus haematodus,RMNH,,Lombok,Indonesia,1,m,forsteni,,
Trichoglossus haematodus,RMNH,Bratan,Bali,Indonesia,2,m,forsteni,,
Trichoglossus haematodus,RMNH,Bratan,Bali,Indonesia,1,f,forsteni,,
Trichoglossus haematodus,RMNH,,Sumbawa,Indonesia,2,,forsteni,,
Trichoglossus haematodus,RMNH,,Tanahjampea,Indonesia,1,m,forsteni,,
Trichoglossus haematodus,RMNH,Biak,,Indonesia,2,f,rosenbergii,,
Trichoglossus haematodus,RMNH,Flores,,Indonesia,10,m,weberi,,
Trichoglossus haematodus,RMNH,Flores,,Indonesia,10,f,weberi,,
Trichoglossus haematodus,RMNH,Kloofbivak,,Indonesia,1,,intermedius,,
Trichoglossus haematodus,RMNH,,,,1,m,intermedius,loc unclear - Klupperkreek?,
Trichoglossus haematodus,RMNH,,,,1,m,intermedius,loc unclear - Deanfort River,
Trichoglossus haematodus,RMNH,,,,3,m,intermedius,loc unclear - Noord River,
Trichoglossus haematodus,RMNH,,,,3,f,intermedius,loc unclear - Noord River,
Trichoglossus haematodus,RMNH,Merauke,,Indonesia,3,m,intermedius,,
Trichoglossus haematodus,RMNH,Merauke,,Indonesia,1,f,intermedius,,
Trichoglossus haematodus,RMNH,Merauke,,Indonesia,1,,intermedius,,
Trichoglossus haematodus,RMNH,Koerik,,Indonesia,2,m,intermedius,,
Trichoglossus haematodus,RMNH,Koerik,,Indonesia,1,,intermedius,sex possibly f,
Trichoglossus haematodus,RMNH,Koerik,,Indonesia,2,f,intermedius,,
Trichoglossus haematodus,RMNH,,,,6,m,rosenbergii,loc unclear,
Trichoglossus haematodus,RMNH,,,,3,f,rosenbergii,loc unclear,
Trichoglossus haematodus,RMNH,Bima,Sumbawa,Indonesia,1,m,forsteni,,
Trichoglossus haematodus,RMNH,Bima,Sumbawa,Indonesia,1,f,forsteni,,
Trichoglossus haematodus,ANWC,Bernhard Camp,,New Guinea,1,m,,West Irian?,
Trichoglossus haematodus,ANWC,Maprik,,New Guinea,1,m,,,
Trichoglossus haematodus,ANWC,Ambunti,,New Guinea,1,m,,,
Trichoglossus haematodus,ANWC,Hunstein River Valley,,New Guinea,1,m,,,
Trichoglossus haematodus,ANWC,Uinba,,New Guinea,6,m,,,
Trichoglossus haematodus,ANWC,Nowata,,New Guinea,3,m,,,
Trichoglossus haematodus,ANWC,Port Moresby,,New Guinea,1,m,,,
Trichoglossus haematodus,ANWC,Barakau,,New Guinea,1,m,,,
Trichoglossus haematodus,ANWC,Putei,,New Guinea,1,m,,,
Trichoglossus haematodus,ANWC,Ravikivau,,New Guinea,1,m,,,
Trichoglossus haematodus,ANWC,Herzog,,New Guinea,3,m,,Herzogka - illegible word above - Waqay/Wagay,
Trichoglossus haematodus,ANWC,Mindik,,New Guinea,1,m,,illegible word in loc,
Trichoglossus haematodus,ANWC,Agevairu,,New Guinea,2,m,,loc includes POM,
Trichoglossus haematodus,ANWC,Ambunti,,New Guinea,2,f,,,
Trichoglossus haematodus,ANWC,Hunstein River Valley,,New Guinea,1,f,,,
Trichoglossus haematodus,ANWC,Uinba,,New Guinea,2,f,,,
Trichoglossus haematodus,ANWC,Lake Kutubu,,Papua New Guinea,1,f,,,
Trichoglossus haematodus,ANWC,Ihu,,New Guinea,1,f,,,
Trichoglossus haematodus,ANWC,Putei,,New Guinea,2,f,,,
Trichoglossus haematodus,ANWC,Agevairu,,New Guinea,2,f,,,
Trichoglossus haematodus,ANWC,Barakau,,New Guinea,1,f,,,
Trichoglossus haematodus,ANWC,Sogeri,,New Guinea,1,f,,,
Trichoglossus haematodus,ANWC,Rigo,,New Guinea,2,f,,,
Trichoglossus haematodus,ANWC,Brown River,,New Guinea,2,f,,,
Trichoglossus haematodus,ANWC,Nowata,,New Guinea,6,f,,,
Trichoglossus haematodus,ANWC,Herzog/Wagau,,New Guinea,5,f,,,
Trichoglossus haematodus,ANWC,Mindik,,New Guinea,2,f,,illegible word in loc,
Trichoglossus haematodus,ANWC,Bensbach/Morehead,,New Guinea,3,m,caeruliceps,,
Trichoglossus haematodus,ANWC,Bensbach/Morehead,,New Guinea,2,f,caeruliceps,,
Trichoglossus haematodus,AMNH,Lake Daviumbu,,Papua New Guinea,7,m,,1994 - subsp unclear,
Trichoglossus haematodus,AMNH,Wassi Kussa River,,New Guinea,6,m,,1994 - subsp unclear - loc Tarara,
Trichoglossus haematodus,AMNH,Oriomo River,,Papua New Guinea,5,m,,1994 - subsp unclear,Wuroi Oriomo River
Trichoglossus haematodus,AMNH,Gaima,,Papua New Guinea,1,m,,1994 - subsp unclear,
Trichoglossus haematodus,AMNH,Daru Island,,Papua New Guinea,4,m,,1994 - subsp unclear,
Trichoglossus haematodus,AMNH,Wassi Kussa River,,Papua New Guinea,2,f,,1994 - subsp unclear - loc Tarara,
Trichoglossus haematodus,AMNH,Gaima,,Papua New Guinea,1,f,,1994 - subsp unclear,
Trichoglossus haematodus,AMNH,Wassi Kussa River,,Papua New Guinea,6,f,,1994 - subsp unclear - loc Tarara,
Trichoglossus haematodus,AMNH,Oriomo River,,Papua New Guinea,3,f,,1994 - subsp unclear,Wuroi Oriomo River
Trichoglossus haematodus,AMNH,Daru Island,,Papua New Guinea,1,f,,1994 - subsp unclear,
Trichoglossus haematodus,AMNH,Lake Daviumbu,,Papua New Guinea,3,f,,,
Trichoglossus haematodus,AMNH,,,,5,m,weberi,no loc,
Trichoglossus haematodus,AMNH,,,,3,f,weberi,no loc,
Trichoglossus haematodus,AMNH,,Tanahjampea,Indonesia,4,m,forsteni,forsteni group has four races - mitchelli djampeanus forsteni (on Sumbawa) and stresemanni (linked to capistratus on Timor),Djampea
Trichoglossus haematodus,AMNH,,Sumbawa,Indonesia,5,m,forsteni,forsteni group has four races - mitchelli djampeanus forsteni (on Sumbawa) and stresemanni (linked to capistratus on Timor),
Trichoglossus haematodus,AMNH,Kaloa Toa,Sulawesi,Indonesia,2,m,forsteni,forsteni group has four races - mitchelli djampeanus forsteni (on Sumbawa) and stresemanni (linked to capistratus on Timor),Kaloa Toa
Trichoglossus haematodus,AMNH,,Tanahjampea,Indonesia,4,f,forsteni,forsteni group has four races - mitchelli djampeanus forsteni (on Sumbawa) and stresemanni (linked to capistratus on Timor),Djampea - one specimen is djampeanus
