electorate,electorate_records.x,electorate_spp,taxonConceptID,species,kingdom,phlum,count,electorate_records.y,prop_obs,z_score,scientific_name,scientific_name_authorship,rank,match_type,phylum,class,order,family,genus,vernacular_name,issues,state
Makin,15505,219,urn:lsid:biodiversity.org.au:afd.taxon:c548926f-ecea-4644-ba8a-31dd297a8f30,Erythrogonys cinctus,Animalia,Chordata,149,15505,0.009609803,5.644157,Erythrogonys cinctus,"Gould, 1838",species,taxonIdMatch,Chordata,Aves,Charadriiformes,Charadriidae,Erythrogonys,Red-kneed Dotterel,noIssue,SA
Mallee,177707,429,urn:lsid:biodiversity.org.au:afd.taxon:13c9b51f-8871-4f0f-a92e-af293fbe3f3d,Artamus superciliosus,Animalia,Chordata,922,177707,0.005188316,3.831052002,Artamus (Campbellornis) superciliosus,"(Gould, 1837)",species,taxonIdMatch,Chordata,Aves,Passeriformes,Artamidae,Artamus,White-browed woodswallow,noIssue,VIC
Maranoa,220133,581,urn:lsid:biodiversity.org.au:afd.taxon:9c61de92-e676-4f81-9776-1ed46f54abe6,Cincloramphus mathewsi,Animalia,Chordata,1428,220133,0.006486987,4.536786328,Cincloramphus (Maclennania) mathewsi,"Iredale, 1911",species,taxonIdMatch,Chordata,Aves,Passeriformes,Megaluridae,Cincloramphus,Rufous Songlark,noIssue,QLD
Maribyrnong,19513,182,urn:lsid:biodiversity.org.au:afd.taxon:364d0d4b-e986-45af-b5da-bb372a3ad39c,Falco peregrinus,Animalia,Chordata,68,19513,0.003484856,3.501203021,Falco (Hierofalco) peregrinus,"Tunstall, 1771",species,taxonIdMatch,Chordata,Aves,Falconiformes,Falconidae,Falco,Peregrine Falcon,noIssue,VIC
Mayo,96092,508,urn:lsid:biodiversity.org.au:afd.taxon:a581c303-95b9-4e2f-8fdc-103e394dd85f,Antechinus flavipes,Animalia,Chordata,627,96092,0.006524997,5.346305598,Antechinus flavipes,"(Waterhouse, 1838)",species,taxonIdMatch,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Yellow-footed Antechinus,noIssue,SA
McEwen,45613,289,urn:lsid:biodiversity.org.au:afd.taxon:bef86559-7ee3-4c5c-bfdb-bf3c4672157e,Melithreptus lunatus,Animalia,Chordata,376,45613,0.008243264,3.332911306,Melithreptus (Melithreptus) lunatus,"(Vieillot, 1802)",species,taxonIdMatch,Chordata,Aves,Passeriformes,Meliphagidae,Melithreptus,White-naped Honeyeater,noIssue,VIC
McMahon,2133,181,urn:lsid:biodiversity.org.au:afd.taxon:06427f10-505d-4e77-8bf1-1fa84e6c2a20,Elanus axillaris,Animalia,Chordata,18,2133,0.008438819,4.366040329,Elanus axillaris,"(Latham, 1801)",species,taxonIdMatch,Chordata,Aves,Falconiformes,Accipitridae,Elanus,Black-shouldered Kite,noIssue,NSW
McPherson,15439,301,urn:lsid:biodiversity.org.au:afd.taxon:57c1c493-3e22-4951-a2fc-220274e13a17,Pseudophryne coriacea,Animalia,Chordata,19,15439,0.00123065,2.450396896,Pseudophryne coriacea,"Keferstein, 1868",species,taxonIdMatch,Chordata,Amphibia,Anura,Myobatrachidae,Pseudophryne,Red-backed Toadlet,noIssue,QLD
Melbourne,74737,201,urn:lsid:biodiversity.org.au:afd.taxon:a4f93d48-9922-4376-8a0d-7c8ef2a47bb1,Tachybaptus novaehollandiae,Animalia,Chordata,1060,74737,0.014183069,2.154526526,Tachybaptus novaehollandiae,"(Stephens, 1826)",species,taxonIdMatch,Chordata,Aves,Podicipediformes,Podicipedidae,Tachybaptus,Australasian Little Grebe,noIssue,VIC
Menzies,19545,204,urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f,Ornithorhynchus anatinus,Animalia,Chordata,40,19545,0.002046559,5.301746599,Ornithorhynchus anatinus,"(Shaw, 1799)",species,taxonIdMatch,Chordata,Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,Platypus,noIssue,VIC
Mitchell,7035,245,urn:lsid:biodiversity.org.au:afd.taxon:456ed144-b510-4662-a740-1cd1ef867752,Lopholaimus antarcticus,Animalia,Chordata,30,7035,0.004264392,2.456169264,Lopholaimus antarcticus,"(Shaw, 1793)",species,taxonIdMatch,Chordata,Aves,Columbiformes,Columbidae,Lopholaimus,Topknot Pigeon,noIssue,NSW
Monash,97472,411,urn:lsid:biodiversity.org.au:afd.taxon:220c0740-72c0-405d-8927-f8d5619288b6,Gadopsis marmoratus,Animalia,Chordata,23,97472,0.000235965,2.412772728,Gadopsis marmoratus,"Richardson, 1848",species,taxonIdMatch,Chordata,Actinopterygii,Perciformes,Percichthyidae,Gadopsis,River Blackfish,noIssue,VIC
Moncrieff,12874,228,urn:lsid:biodiversity.org.au:afd.taxon:755d948d-8b77-4f9b-8f96-d4856c551d7d,Hirundo neoxena,Animalia,Chordata,478,12874,0.037129097,2.603759244,Hirundo (Hirundo) neoxena,"Gould, 1843",species,taxonIdMatch,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,Welcome Swallow,noIssue,QLD
Moore,14882,266,urn:lsid:biodiversity.org.au:afd.taxon:2851357e-d9d1-4cde-a3c2-ec4e1bee60a4,Falco longipennis,Animalia,Chordata,113,14882,0.007593065,6.574940103,Falco (Falco) longipennis,"Swainson, 1838",species,taxonIdMatch,Chordata,Aves,Falconiformes,Falconidae,Falco,Australian Hobby,noIssue,WA
Moreton,132841,285,urn:lsid:biodiversity.org.au:afd.taxon:551fc21d-f1a5-4c14-a9e3-9e2e293183af,Concinnia martini,Animalia,Chordata,19,132841,0.000143028,2.33088233,Concinnia martini,"(Wells & Wellington, 1985)",species,taxonIdMatch,Chordata,Reptilia,Squamata,Scincidae,Concinnia,Dark Barsided Skink,noIssue,QLD
New England,142377,548,urn:lsid:biodiversity.org.au:afd.taxon:11cdbcd5-d7d1-4207-9a2e-80509bf70e41,Litoria wilcoxii,Animalia,Chordata,127,142377,0.000891998,4.260810801,Litoria wilcoxii,"Günther, 1864",species,taxonIdMatch,Chordata,Amphibia,Anura,Hylidae,Litoria,Wilcox's Frog,noIssue,NSW
Newcastle,37967,348,urn:lsid:biodiversity.org.au:afd.taxon:ba17b534-ec3d-4ec3-8f9a-6c2c79ad4459,Limosa limosa,Animalia,Chordata,131,37967,0.003450365,4.396837794,Limosa limosa,"(Linnaeus, 1758)",species,taxonIdMatch,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,Black-tailed Godwit,noIssue,NSW
Nicholls,89653,324,urn:lsid:biodiversity.org.au:afd.taxon:63045651-60a2-4cfe-9e47-09378ac83196,Acanthiza reguloides,Animalia,Chordata,757,89653,0.008443666,3.400536331,Acanthiza (Geobasileus) reguloides,"Vigors & Horsfield, 1827",species,taxonIdMatch,Chordata,Aves,Passeriformes,Acanthizidae,Acanthiza,Buff-rumped Thornbill,noIssue,VIC
North Sydney,10950,266,urn:lsid:biodiversity.org.au:afd.taxon:9baa55f2-69c1-486c-91f7-f96e58b7c945,Hydromys chrysogaster,Animalia,Chordata,85,10950,0.007762557,10.05338197,Hydromys chrysogaster,"Geoffroy, 1804",species,taxonIdMatch,Chordata,Mammalia,Rodentia,Muridae,Hydromys,Rakali / Water Rat,noIssue,NSW
O'Connor,97174,515,urn:lsid:biodiversity.org.au:afd.taxon:fb2711ca-71a0-478b-b6f3-2b4ded21bdec,Parvipsitta porphyrocephala,Animalia,Chordata,1201,97174,0.012359273,5.383430955,Parvipsitta porphyrocephala,"(Dietrichsen, 1837)",species,taxonIdMatch,Chordata,Aves,Psittaciformes,Psittacidae,Parvipsitta,Purple-crowned Lorikeet,noIssue,WA
Oxley,33248,249,urn:lsid:biodiversity.org.au:afd.taxon:7613c3e0-edf7-4326-98fe-d6c342bcdb88,Parvipsitta pusilla,Animalia,Chordata,179,33248,0.005383782,3.384704464,Parvipsitta pusilla,"(Shaw, 1790)",species,taxonIdMatch,Chordata,Aves,Psittaciformes,Psittacidae,Parvipsitta,Little Lorikeet,noIssue,QLD
Page,65871,726,urn:lsid:biodiversity.org.au:afd.taxon:f8712e3e-3cdb-4d40-aebf-52fcd9cf75c7,Pteropus scapulatus,Animalia,Chordata,81,65871,0.001229676,5.525060887,Pteropus scapulatus,"Peters, 1862",species,taxonIdMatch,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,Little Red Flying-fox,noIssue,NSW
Parkes,240470,566,urn:lsid:biodiversity.org.au:afd.taxon:23f4784e-1116-482c-8e3e-b6b12733f588,Macropus giganteus,Animalia,Chordata,17269,240470,0.071813532,9.629272448,Macropus giganteus,"Shaw, 1790",species,taxonIdMatch,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,Eastern Grey Kangaroo,noIssue,NSW
Parramatta,10848,207,urn:lsid:biodiversity.org.au:afd.taxon:82a2a76c-1669-4ddf-9fd7-d2589bc4f61d,Aviceda subcristata,Animalia,Chordata,32,10848,0.002949853,3.304551653,Aviceda (Aviceda) subcristata,"(Gould, 1838)",species,taxonIdMatch,Chordata,Aves,Falconiformes,Accipitridae,Aviceda,Pacific Baza,noIssue,NSW
Paterson,39419,647,urn:lsid:biodiversity.org.au:afd.taxon:680ad7a7-a5fc-4e69-872d-16f8711238ac,Neotrygon trigonoides,Animalia,Chordata,20,39419,0.00050737,3.70605927,Neotrygon trigonoides,"(Castelnau, 1873)",species,taxonIdMatch,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,Neotrygon,Coral Sea Maskray,noIssue,NSW
Pearce,6848,196,urn:lsid:biodiversity.org.au:afd.taxon:5df8fe83-1398-4c70-95a2-f680813aaa7e,Calidris alba,Animalia,Chordata,21,6848,0.003066589,4.569298821,Calidris (Crocethia) alba,"(Pallas, 1764)",species,taxonIdMatch,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Sanderling,noIssue,WA
Perth,28971,171,urn:lsid:biodiversity.org.au:afd.taxon:5f46e9da-17dd-4e0c-add0-79c61b9f616a,Crinia glauerti,Animalia,Chordata,3543,28971,0.122294709,3.307585894,Crinia glauerti,"Loveridge, 1933",species,taxonIdMatch,Chordata,Amphibia,Anura,Myobatrachidae,Crinia,Glauert's Froglet,noIssue,WA
Petrie,81309,298,urn:lsid:biodiversity.org.au:afd.taxon:65c2e940-484e-432b-95ab-930b44ed0287,Todiramphus sanctus,Animalia,Chordata,931,81309,0.011450147,2.926811088,Todiramphus (Todiramphus) sanctus,"(Vigors & Horsfield, 1827)",species,taxonIdMatch,Chordata,Aves,Coraciiformes,Alcedinidae,Todiramphus,Sacred Kingfisher,noIssue,QLD
Rankin,9891,226,urn:lsid:biodiversity.org.au:afd.taxon:2e224aea-d0de-4f29-909a-9b23859ccce7,Platyplectrum ornatum,Animalia,Chordata,340,9891,0.034374684,6.023986213,Platyplectrum ornatum,"(Gray, 1842)",species,taxonIdMatch,Chordata,Amphibia,Anura,Limnodynastidae,Platyplectrum,Ornate Burrowing Frog,noIssue,QLD
Reid,27856,250,urn:lsid:biodiversity.org.au:afd.taxon:d2ad67ce-3130-4e23-b4b6-e44c7d1b06d9,Hypotaenidia philippensis,Animalia,Chordata,26,27856,0.000933372,5.908452197,Hypotaenidia philippensis,"(Linnaeus, 1766)",species,taxonIdMatch,Chordata,Aves,Gruiformes,Rallidae,Hypotaenidia,Buff-banded Rail,noIssue,NSW
Richmond,91734,651,urn:lsid:biodiversity.org.au:afd.taxon:f85d574a-e3c9-4ba4-a91e-6c87efacd874,Sterna hirundo,Animalia,Chordata,377,91734,0.004109709,4.019341112,Sterna (Sterna) hirundo,"Linnaeus, 1758",species,taxonIdMatch,Chordata,Aves,Charadriiformes,Laridae,Sterna,Common Tern,noIssue,NSW
Riverina,73276,367,urn:lsid:biodiversity.org.au:afd.taxon:51dc6bc2-9165-4fc3-a374-1010ac3037d0,Polytelis swainsonii,Animalia,Chordata,928,73276,0.012664447,3.357089492,Polytelis swainsonii,"(Desmarest, 1826)",species,taxonIdMatch,Chordata,Aves,Psittaciformes,Psittacidae,Polytelis,Superb Parrot,noIssue,NSW
Robertson,17874,394,urn:lsid:biodiversity.org.au:afd.taxon:cdaae4b5-4a09-4986-8f7b-7cfdddbfc723,Haliaeetus leucogaster,Animalia,Chordata,226,17874,0.012644064,4.280038676,Haliaeetus (Pontoaetus) leucogaster,"(Gmelin, 1788)",species,taxonIdMatch,Chordata,Aves,Falconiformes,Accipitridae,Haliaeetus,White-bellied Sea Eagle,noIssue,NSW
Ryan,147381,377,urn:lsid:biodiversity.org.au:afd.taxon:6e764773-aa69-49fa-a120-815c6374f0da,Sericornis magnirostra,Animalia,Chordata,881,147381,0.005977704,2.551398427,Sericornis (Arfakornis) magnirostra,"(Gould, 1838)",species,taxonIdMatch,Chordata,Aves,Passeriformes,Acanthizidae,Sericornis,Large-billed Scrubwren,noIssue,QLD
Scullin,45190,217,urn:lsid:biodiversity.org.au:afd.taxon:1f56ceb3-2f8b-4817-8d21-fe3b3d448b29,Psephotus haematonotus,Animalia,Chordata,1703,45190,0.037685329,4.653778235,Psephotus (Psephotus) haematonotus,"(Gould, 1838)",species,taxonIdMatch,Chordata,Aves,Psittaciformes,Psittacidae,Psephotus,Red-rumped Parrot,noIssue,VIC
Shortland,18706,481,urn:lsid:biodiversity.org.au:afd.taxon:743cc7d8-b198-4c40-9421-6c66ef173db0,Rhabdosargus sarba,Animalia,Chordata,37,18706,0.001977975,4.128772169,Rhabdosargus sarba,"(Forsskål, 1775)",species,taxonIdMatch,Chordata,Actinopterygii,Perciformes,Sparidae,Rhabdosargus,Goldlined Seabream,noIssue,NSW
Solomon,76070,317,urn:lsid:biodiversity.org.au:afd.taxon:698f5cfc-4b81-4ed3-aebd-750d1f86a573,Apus pacificus,Animalia,Chordata,133,76070,0.00174839,6.640064307,Apus (Apus) pacificus,"(Latham, 1801)",species,taxonIdMatch,Chordata,Aves,Apodiformes,Apodidae,Apus,Fork-tailed swift,noIssue,NT
Spence,5401,236,urn:lsid:biodiversity.org.au:afd.taxon:63253b4c-c74c-4da3-8487-ad7202bd2b39,Haematopus fuliginosus,Animalia,Chordata,61,5401,0.011294205,4.340611399,Haematopus fuliginosus,"Gould, 1845",species,taxonIdMatch,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,sooty oystercatcher,noIssue,SA
Sturt,9277,170,urn:lsid:biodiversity.org.au:afd.taxon:417895d7-610a-4255-b1fd-60a55e39c1dc,Eulamprus quoyii,Animalia,Chordata,74,9277,0.007976717,5.633276522,Eulamprus quoyii,"(Duméril & Bibron, 1839)",species,taxonIdMatch,Chordata,Reptilia,Squamata,Scincidae,Eulamprus,Eastern Water-skink,noIssue,SA
Swan,16690,181,urn:lsid:biodiversity.org.au:afd.taxon:fd74a66c-2566-4a49-b46a-8a2a1699f594,Plegadis falcinellus,Animalia,Chordata,142,16690,0.008508089,3.673853517,Plegadis falcinellus,"(Linnaeus, 1766)",species,taxonIdMatch,Chordata,Aves,Ciconiiformes,Threskiornithidae,Plegadis,Glossy Ibis,noIssue,WA
Sydney,22348,269,urn:lsid:biodiversity.org.au:afd.taxon:369f9944-49c6-4673-a988-1d0d759c9d6b,Onychoprion fuscata,Animalia,Chordata,119,22348,0.005324861,5.636846758,Onychoprion fuscata,"(Linnaeus, 1766)",species,taxonIdMatch,Chordata,Aves,Charadriiformes,Laridae,Onychoprion,Sooty Tern,noIssue,NSW
Tangney,11927,206,urn:lsid:biodiversity.org.au:afd.taxon:1fdd7319-339b-4786-b555-74ebbefe6e2b,Sternula nereis,Animalia,Chordata,126,11927,0.010564266,4.183909191,Sternula nereis,"(Gould, 1843)",species,taxonIdMatch,Chordata,Aves,Charadriiformes,Laridae,Sternula,Fairy Tern,noIssue,WA
Wannon,117369,461,urn:lsid:biodiversity.org.au:afd.taxon:ceaf58f0-17df-468e-8f34-b4892145df3b,Neophema chrysostoma,Animalia,Chordata,414,117369,0.003527337,4.114194788,Neophema (Neonanodes) chrysostoma,"(Kuhl, 1820)",species,taxonIdMatch,Chordata,Aves,Psittaciformes,Psittacidae,Neophema,Blue-winged Parrot,noIssue,VIC
Warringah,32916,609,urn:lsid:biodiversity.org.au:afd.taxon:00b1b9a2-70c9-45be-8019-9c7fd755afc8,Trichosurus vulpecula,Animalia,Chordata,2990,32916,0.090837283,10.81151918,Trichosurus vulpecula,"(Kerr, 1792)",species,taxonIdMatch,Chordata,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,Common Brushtail Possum,noIssue,NSW
Watson,3677,165,urn:lsid:biodiversity.org.au:afd.taxon:82f18b82-bc29-4847-83bc-eb94f72843ae,Lampropholis delicata,Animalia,Chordata,14,3677,0.003807452,6.134082655,Lampropholis delicata,"(De Vis, 1888)",species,taxonIdMatch,Chordata,Reptilia,Squamata,Scincidae,Lampropholis,Dark-flecked Garden Sunskink,noIssue,NSW
Wentworth,38672,319,urn:lsid:biodiversity.org.au:afd.taxon:48bfffd8-f058-49e3-ab1a-f72689d4f8df,Phalacrocorax carbo,Animalia,Chordata,756,38672,0.019549028,5.040704067,Phalacrocorax (Phalacrocorax) carbo,"(Linnaeus, 1758)",species,taxonIdMatch,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,Great Cormorant,noIssue,NSW
Werriwa,1709,195,urn:lsid:biodiversity.org.au:afd.taxon:f6edc452-91de-4ab0-9cf6-49ca23b82995,Lophoictinia isura,Animalia,Chordata,12,1709,0.00702165,7.121438737,Lophoictinia isura,"(Gould, 1838)",species,taxonIdMatch,Chordata,Aves,Falconiformes,Accipitridae,Lophoictinia,Square-tailed Kite,noIssue,NSW
Whitlam,79145,414,urn:lsid:biodiversity.org.au:afd.taxon:4fce5374-4678-4b2d-b94e-bb9a49d6ed50,Ctenotus taeniolatus,Animalia,Chordata,90,79145,0.001137153,3.425269949,Ctenotus taeniolatus,"(White, 1790)",species,taxonIdMatch,Chordata,Reptilia,Squamata,Scincidae,Ctenotus,Copper-tailed Skink,noIssue,NSW
Wide Bay,86463,522,urn:lsid:biodiversity.org.au:afd.taxon:6e0479cb-78dc-409e-a4f4-b53bc659aefa,Litoria caerulea,Animalia,Chordata,300,86463,0.003469692,3.07229994,Litoria caerulea,"(White, 1790)",species,taxonIdMatch,Chordata,Amphibia,Anura,Hylidae,Litoria,Green Tree Frog,noIssue,QLD
Wills,18109,161,urn:lsid:biodiversity.org.au:afd.taxon:5da8abb3-75e5-460a-933d-c0918d49dc11,Accipiter cirrocephalus,Animalia,Chordata,74,18109,0.004086366,4.729845288,Accipiter (Paraspizias) cirrocephalus,"(Vieillot, 1817)",species,taxonIdMatch,Chordata,Aves,Falconiformes,Accipitridae,Accipiter,Collared Sparrowhawk,noIssue,VIC
Wright,115080,450,urn:lsid:biodiversity.org.au:afd.taxon:50f5fe4b-a8a3-46f9-9c61-47443c294cc2,Sericornis citreogularis,Animalia,Chordata,966,115080,0.008394161,3.886110299,Sericornis (Sericornis) citreogularis,"Gould, 1838",species,taxonIdMatch,Chordata,Aves,Passeriformes,Acanthizidae,Sericornis,Yellow-throated Scrubwren,noIssue,QLD